"","station_nbr","date","tmax","tmin","tavg","dewpoint","wetbulb","heat","cool","snowfall","preciptotal","stnpressure","sealevel","resultspeed","resultdir","avgspeed","eventdist"
"17801",4,"2014-06-18",92,77,85,71,75,0,20,0,0,29,29,7,16,8,0
"17821",4,"2014-06-19",91,76,84,70,74,0,19,0,0,29,29,3,15,6,0
"17841",4,"2014-06-20",91,75,83,71,74,0,18,0,0,29,30,3,13,5,0
"17861",4,"2014-06-21",92,75,84,71,74,0,19,0,0,29,29,3,14,5,0
"17881",4,"2014-06-22",90,76,83,71,75,0,18,0,0,29,29,5,17,7,0
"17901",4,"2014-06-23",88,68,78,72,74,0,13,0,0,29,29,1,14,4,0
"17921",4,"2014-06-24",93,74,84,72,75,0,19,0,0,29,29,2,16,4,0
"17941",4,"2014-06-25",89,71,80,72,74,0,15,0,0,29,29,3,15,5,0
"17961",4,"2014-06-26",88,71,80,71,73,0,15,0,0,29,29,5,15,6,0
"17981",4,"2014-06-27",91,75,83,72,75,0,18,0,0,29,29,6,16,8,0
"18001",4,"2014-06-28",93,78,86,73,76,0,21,0,0,29,29,8,17,9,0
"18021",4,"2014-06-29",95,77,86,73,76,0,21,0,0,29,29,7,17,9,0
"18041",4,"2014-06-30",96,77,87,71,75,0,22,0,0,29,29,7,17,8,0
"18061",4,"2014-07-01",96,75,86,70,74,0,21,0,0,29,29,4,17,6,0
"18081",4,"2014-07-02",97,73,85,69,74,0,20,0,0,29,29,2,15,4,0
"18101",4,"2014-07-03",96,72,84,69,73,0,19,0,0,29,30,0,12,2,0
"18121",4,"2014-07-04",93,71,82,68,72,0,17,0,0,29,30,1,13,3,0
"18141",4,"2014-07-05",94,69,82,69,72,0,17,0,0,29,30,1,15,4,0
"18161",4,"2014-07-06",95,72,84,69,73,0,19,0,0,29,30,2,16,4,0
"18181",4,"2014-07-07",96,73,85,67,73,0,20,0,0,29,29,3,18,5,0
"18201",4,"2014-07-08",98,74,86,68,73,0,21,0,0,29,29,5,18,6,0
"18221",4,"2014-07-09",98,72,85,66,72,0,20,0,0,29,29,2,18,5,0
"18241",4,"2014-07-10",96,72,84,67,72,0,19,0,0,29,30,2,18,4,0
"18261",4,"2014-07-11",95,71,83,66,71,0,18,0,0,29,30,3,16,5,0
"18281",4,"2014-07-12",98,71,85,65,72,0,20,0,0,29,30,1,15,3,0
"18301",4,"2014-07-13",100,74,87,67,74,0,22,0,0,29,30,2,16,4,0
"18321",4,"2014-07-14",101,75,88,66,73,0,23,0,0,29,29,1,17,3,1
"18341",4,"2014-07-15",92,73,83,71,74,0,18,0,0,29,29,1,28,3,1
"18361",4,"2014-07-16",95,73,84,71,74,0,19,0,0,29,29,2,15,4,2
"18381",4,"2014-07-17",89,74,82,73,76,0,17,0,3,29,29,2,17,4,3
"18401",4,"2014-07-18",78,72,75,70,71,0,10,0,1,29,29,1,2,3,4
"18421",4,"2014-07-19",86,70,78,69,72,0,13,0,0,29,29,1,9,2,3
"18441",4,"2014-07-20",94,74,84,73,76,0,19,0,0,29,29,2,12,4,2
"18461",4,"2014-07-21",96,77,87,73,76,0,22,0,0,29,29,2,14,5,1
"18481",4,"2014-07-22",96,76,86,71,76,0,21,0,0,29,29,1,12,2,0
"18501",4,"2014-07-23",97,75,86,71,75,0,21,0,0,29,30,0,1,2,0
"18521",4,"2014-07-24",94,74,84,71,75,0,19,0,0,29,29,1,8,2,0
"18541",4,"2014-07-25",96,75,86,70,75,0,21,0,0,29,29,2,14,4,0
"18561",4,"2014-07-26",98,76,87,71,75,0,22,0,0,29,29,4,17,6,0
"18581",4,"2014-07-27",98,75,87,70,75,0,22,0,0,29,29,3,19,6,0
"18601",4,"2014-07-28",99,74,87,69,74,0,22,0,0,29,30,0,19,3,0
"18621",4,"2014-07-29",97,76,87,70,75,0,22,0,0,29,30,1,9,4,0
"18641",4,"2014-07-30",96,76,86,67,73,0,21,0,0,29,29,3,16,6,0
"18661",4,"2014-07-31",97,77,87,70,NA,0,22,0,0,29,29,1,1,4,0
"18681",4,"2014-08-01",91,73,82,65,71,0,17,0,0,29,29,2,1,5,0
"18701",4,"2014-08-02",90,68,79,66,70,0,14,0,0,29,30,1,2,3,0
"18721",4,"2014-08-03",94,71,83,66,71,0,18,0,0,29,29,2,1,4,0
"18741",4,"2014-08-04",94,72,83,69,73,0,18,0,0,29,29,1,6,3,0
"18761",4,"2014-08-05",97,73,85,68,73,0,20,0,0,29,29,2,12,3,0
"18781",4,"2014-08-06",99,76,88,68,74,0,23,0,0,29,29,2,16,4,0
"18801",4,"2014-08-07",102,77,90,70,76,0,25,0,0,29,29,3,17,6,0
"18821",4,"2014-08-08",102,76,89,69,75,0,24,0,0,29,29,3,17,6,0
"18841",4,"2014-08-09",100,77,89,69,75,0,24,0,0,29,29,2,17,5,0
"18861",4,"2014-08-10",101,77,89,69,75,0,24,0,0,29,29,1,17,4,0
"18881",4,"2014-08-11",102,76,89,72,75,0,24,0,0,29,29,0,30,3,0
"18901",4,"2014-08-12",100,73,87,66,73,0,22,0,0,29,29,1,1,3,0
"18921",4,"2014-08-13",97,69,83,58,68,0,18,0,0,29,30,2,5,4,0
"18941",4,"2014-08-14",98,70,84,61,70,0,19,0,0,29,29,1,10,3,0
"18961",4,"2014-08-15",101,75,88,67,74,0,23,0,0,29,29,2,16,4,0
"18981",4,"2014-08-16",104,77,91,69,76,0,26,0,0,29,29,4,17,6,0
"19001",4,"2014-08-17",101,79,90,70,75,0,25,0,0,29,29,1,15,5,0
"19021",4,"2014-08-18",102,78,90,70,76,0,25,0,0,29,29,4,17,6,0
"19041",4,"2014-08-19",96,77,87,68,74,0,22,0,0,29,29,5,17,7,0
"19061",4,"2014-08-20",102,78,90,70,76,0,25,0,0,29,29,5,17,8,0
"19081",4,"2014-08-21",103,80,92,69,76,0,27,0,0,29,29,7,17,8,0
"19101",4,"2014-08-22",103,79,91,68,75,0,26,0,0,29,29,4,17,7,0
"19121",4,"2014-08-23",101,75,88,69,75,0,23,0,0,29,29,3,16,5,0
"19141",4,"2014-08-24",101,77,89,69,75,0,24,0,0,29,29,2,17,4,0
"19161",4,"2014-08-25",101,76,89,67,74,0,24,0,0,29,29,1,14,4,0
"19181",4,"2014-08-26",101,77,89,68,74,0,24,0,0,29,29,1,13,3,0
"19201",4,"2014-08-27",98,76,87,66,73,0,22,0,0,29,29,1,9,3,0
"19221",4,"2014-08-28",99,76,88,71,75,0,23,0,0,29,29,3,15,4,0
"19241",4,"2014-08-29",96,77,87,72,75,0,22,0,0,29,29,2,12,4,0
"19261",4,"2014-08-30",95,74,85,71,75,0,20,0,0,29,29,2,14,4,0
"19281",4,"2014-08-31",99,74,87,72,75,0,22,0,0,29,29,4,16,6,0
"19301",4,"2014-09-01",101,78,90,71,76,0,25,0,0,29,29,6,16,7,0
"19321",4,"2014-09-02",98,78,88,72,76,0,23,0,0,29,29,5,15,7,0
"19341",4,"2014-09-03",100,76,88,70,75,0,23,0,0,29,29,3,16,5,0
"19361",4,"2014-09-04",99,73,86,73,76,0,21,0,0,29,29,1,15,4,0
"19381",4,"2014-09-05",97,77,87,72,76,0,22,0,0,29,30,1,15,3,0
"19401",4,"2014-09-06",97,74,86,71,75,0,21,0,0,29,29,0,13,2,0
"19421",4,"2014-09-07",89,74,82,72,74,0,17,0,0,29,30,1,1,2,0
"19441",4,"2014-09-08",96,72,84,69,74,0,19,0,0,29,29,1,15,3,0
"19461",4,"2014-09-09",97,74,86,70,74,0,21,0,0,29,29,4,18,5,0
"19481",4,"2014-09-10",99,77,88,70,75,0,23,0,0,29,29,5,18,7,0
"19501",4,"2014-09-11",99,78,89,71,76,0,24,0,0,29,29,2,17,5,0
"19521",4,"2014-09-12",96,66,81,69,73,0,16,0,0,29,29,2,1,4,0
"19541",4,"2014-09-13",66,60,63,61,62,2,0,0,0,29,30,4,36,5,0
"19561",4,"2014-09-14",77,64,71,64,66,0,6,0,0,29,30,0,5,2,0
"19581",4,"2014-09-15",88,69,79,68,71,0,14,0,0,29,30,0,8,1,1
"19601",4,"2014-09-16",94,74,84,72,75,0,19,0,0,29,30,1,10,2,2
"19621",4,"2014-09-17",91,75,83,73,76,0,18,0,0,29,29,1,15,2,3
"19641",4,"2014-09-18",90,72,81,73,74,0,16,0,3,29,29,1,3,2,4
"19661",4,"2014-09-19",86,74,80,73,75,0,15,0,0,29,29,1,10,2,3
"19681",4,"2014-09-20",90,74,82,73,75,0,17,0,0,29,29,2,12,3,2
"19701",4,"2014-09-21",90,72,81,69,73,0,16,0,0,29,30,1,8,2,1
"19721",4,"2014-09-22",91,70,81,68,72,0,16,0,0,29,30,0,35,3,0
"19741",4,"2014-09-23",85,67,76,58,64,0,11,0,0,29,30,1,6,3,0
"19761",4,"2014-09-24",84,60,72,57,63,0,7,0,0,29,30,0,8,2,0
"19781",4,"2014-09-25",83,62,73,62,66,0,8,0,0,29,30,2,11,3,0
"19801",4,"2014-09-26",85,66,76,64,68,0,11,0,0,29,30,1,10,3,0
"19821",4,"2014-09-27",80,68,74,66,69,0,9,0,0,29,30,0,11,1,0
"19841",4,"2014-09-28",88,66,77,64,68,0,12,0,0,29,29,1,2,2,0
"19861",4,"2014-09-29",89,67,78,64,69,0,13,0,0,29,29,1,8,2,0
"19881",4,"2014-09-30",90,65,78,66,70,0,13,0,0,29,29,0,14,2,0
"19901",4,"2014-10-01",92,76,84,70,74,0,19,0,0,29,29,3,18,5,0
"19921",4,"2014-10-02",92,76,84,71,75,0,19,0,0,29,29,2,22,7,0
"19941",4,"2014-10-03",85,65,75,51,61,0,10,0,0,29,30,6,2,6,0
"19961",4,"2014-10-04",80,59,70,49,58,0,5,0,0,29,30,0,12,4,0
"19981",4,"2014-10-05",87,62,75,62,66,0,10,0,0,29,29,4,17,5,0
"20001",4,"2014-10-06",89,72,81,68,71,0,16,0,0,29,29,3,15,5,0
"20021",4,"2014-10-07",94,72,83,69,73,0,18,0,0,29,29,2,18,5,0
"20041",4,"2014-10-08",90,74,82,69,73,0,17,0,0,29,29,3,17,5,1
"20061",4,"2014-10-09",92,75,84,70,74,0,19,0,0,29,29,4,17,7,2
"20081",4,"2014-10-10",92,75,84,70,74,0,19,0,0,29,29,4,18,6,3
"20101",4,"2014-10-11",78,59,69,61,63,0,4,0,1,29,30,2,36,5,4
"20121",4,"2014-10-12",77,61,69,63,65,0,4,0,0,29,29,1,17,2,3
"20141",4,"2014-10-13",76,61,69,55,61,0,4,0,0,29,29,5,29,9,2
"20161",4,"2014-10-14",80,51,66,44,55,0,1,0,0,29,30,3,31,4,1
"20181",4,"2014-10-15",88,56,72,46,57,0,7,0,0,29,30,1,30,2,0
"20201",4,"2014-10-16",86,57,72,49,59,0,7,0,0,29,29,3,19,4,0
"20221",4,"2014-10-17",87,61,74,60,65,0,9,0,0,29,29,1,18,2,0
"20241",4,"2014-10-18",86,66,76,63,67,0,11,0,0,29,29,0,9,1,0
"20261",4,"2014-10-19",82,65,74,63,67,0,9,0,0,29,30,0,5,2,0
"20281",4,"2014-10-20",82,63,73,61,65,0,8,0,0,29,30,1,10,2,0
"20301",4,"2014-10-21",83,58,71,55,61,0,6,0,0,29,30,1,10,2,0
"20321",4,"2014-10-22",83,61,72,59,64,0,7,0,0,29,30,1,9,2,0
"20341",4,"2014-10-23",83,66,75,59,64,0,10,0,0,29,30,0,11,1,0
"20361",4,"2014-10-24",85,60,73,59,64,0,8,0,0,29,30,1,14,1,0
"20381",4,"2014-10-25",88,62,75,59,65,0,10,0,0,29,30,0,18,1,0
"20401",4,"2014-10-26",86,61,74,58,64,0,9,0,0,29,29,1,17,3,0
"20421",4,"2014-10-27",86,62,74,61,66,0,9,0,0,29,29,5,18,5,0
"20441",4,"2014-10-28",84,65,75,65,68,0,10,0,0,29,29,0,18,2,0
"20461",4,"2014-10-29",81,65,73,62,65,0,8,0,0,29,30,1,2,3,0
"20481",4,"2014-10-30",82,63,73,59,64,0,8,0,0,29,30,0,9,1,0
"20501",4,"2014-10-31",76,56,66,47,56,0,1,0,0,29,30,6,1,6,0
"2893",5,"2012-06-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2913",5,"2012-06-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2933",5,"2012-06-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2953",5,"2012-06-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2973",5,"2012-06-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2993",5,"2012-06-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"3013",5,"2012-06-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"3033",5,"2012-06-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"3053",5,"2012-06-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"3073",5,"2012-06-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"3093",5,"2012-06-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"3113",5,"2012-06-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"3133",5,"2012-06-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"3153",5,"2012-06-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"3173",5,"2012-06-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"3193",5,"2012-06-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"3213",5,"2012-06-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"3233",5,"2012-06-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"3253",5,"2012-06-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"3273",5,"2012-06-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"3293",5,"2012-06-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"3313",5,"2012-06-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"3333",5,"2012-06-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"3353",5,"2012-06-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"3373",5,"2012-06-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"3393",5,"2012-06-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"3413",5,"2012-06-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"3433",5,"2012-06-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"3453",5,"2012-06-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"3473",5,"2012-06-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"3493",5,"2012-07-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"3513",5,"2012-07-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"3533",5,"2012-07-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"3553",5,"2012-07-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"3573",5,"2012-07-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"3593",5,"2012-07-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"3613",5,"2012-07-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"3633",5,"2012-07-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"3653",5,"2012-07-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"3673",5,"2012-07-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"3693",5,"2012-07-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"3713",5,"2012-07-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"3733",5,"2012-07-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"3753",5,"2012-07-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"3773",5,"2012-07-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"3793",5,"2012-07-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"3813",5,"2012-07-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"3833",5,"2012-07-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"3853",5,"2012-07-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"3873",5,"2012-07-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"3893",5,"2012-07-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"3913",5,"2012-07-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"3933",5,"2012-07-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"3953",5,"2012-07-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"3973",5,"2012-07-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"3993",5,"2012-07-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"4013",5,"2012-07-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"4033",5,"2012-07-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"4053",5,"2012-07-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"4073",5,"2012-07-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"4093",5,"2012-07-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"4113",5,"2012-08-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"4133",5,"2012-08-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"4153",5,"2012-08-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"4173",5,"2012-08-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"4193",5,"2012-08-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"4213",5,"2012-08-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"4233",5,"2012-08-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"4253",5,"2012-08-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"4273",5,"2012-08-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"4293",5,"2012-08-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"4313",5,"2012-08-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"4333",5,"2012-08-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"4353",5,"2012-08-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"4373",5,"2012-08-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"4393",5,"2012-08-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"4413",5,"2012-08-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"4433",5,"2012-08-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"4453",5,"2012-08-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"4473",5,"2012-08-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"4493",5,"2012-08-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"4513",5,"2012-08-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"4533",5,"2012-08-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"4553",5,"2012-08-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"4573",5,"2012-08-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"4593",5,"2012-08-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"4613",5,"2012-08-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"4633",5,"2012-08-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"4653",5,"2012-08-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"4673",5,"2012-08-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"4693",5,"2012-08-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"4713",5,"2012-08-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"4733",5,"2012-09-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"4753",5,"2012-09-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"4773",5,"2012-09-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"4793",5,"2012-09-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"4813",5,"2012-09-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"4833",5,"2012-09-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"4853",5,"2012-09-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"4873",5,"2012-09-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"4893",5,"2012-09-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"4913",5,"2012-09-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"4933",5,"2012-09-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"4953",5,"2012-09-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"4973",5,"2012-09-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"4993",5,"2012-09-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"5013",5,"2012-09-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"5033",5,"2012-09-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"5053",5,"2012-09-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"5073",5,"2012-09-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"5093",5,"2012-09-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"5113",5,"2012-09-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"5133",5,"2012-09-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"5153",5,"2012-09-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"5173",5,"2012-09-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"5193",5,"2012-09-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"5213",5,"2012-09-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"5233",5,"2012-09-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"5253",5,"2012-09-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"5273",5,"2012-09-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"5293",5,"2012-09-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"5313",5,"2012-09-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"5333",5,"2012-10-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"5353",5,"2012-10-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"5373",5,"2012-10-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"5393",5,"2012-10-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"5413",5,"2012-10-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"5433",5,"2012-10-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"5453",5,"2012-10-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"5473",5,"2012-10-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"5493",5,"2012-10-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"5513",5,"2012-10-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"5533",5,"2012-10-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"5553",5,"2012-10-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"5573",5,"2012-10-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"5593",5,"2012-10-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
